datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2006-12-16,1209.176,34.922,93552.53,5180.8,0.0,546.0,4926.0,14680.934
2006-12-17,3390.46,226.006,345725.3,14398.6,2033.0,4187.0,13341.0,36946.668
2006-12-18,2203.826,161.792,347373.62,9247.2,1063.0,2621.0,14018.0,19028.434
2006-12-19,1666.194,150.942,348479.0,7094.0,839.0,7602.0,6197.0,13131.9
2006-12-20,2225.748,160.998,348923.62,9313.0,0.0,2648.0,14063.0,20384.8
2006-12-21,1723.288,144.434,347096.4,7266.4,1765.0,2692.0,10456.0,13808.467
2006-12-22,2341.338,186.906,347305.75,9897.0,3151.0,350.0,11131.0,24390.3
2006-12-23,4773.386,221.47,345795.94,20200.4,2669.0,425.0,14726.0,61736.434
2006-12-24,2550.012,149.9,348029.9,11002.2,1703.0,5082.0,6891.0,28824.2
2006-12-25,2743.12,240.28,350495.9,11450.2,6620.0,1962.0,5795.0,31341.666
2006-12-26,3934.11,165.102,347940.62,16341.0,1086.0,2533.0,14979.0,46970.5
2006-12-27,1528.76,178.90201,351025.0,6505.2,0.0,314.0,6976.0,18189.334
2006-12-28,2072.638,208.876,350306.4,8764.2,2207.0,4419.0,9176.0,18741.967
2006-12-29,3174.392,196.394,346854.7,13350.8,1252.0,5162.0,11329.0,35163.535
2006-12-30,2796.108,312.142,346377.16,11952.6,3072.0,7893.0,12516.0,23120.8
2006-12-31,3494.196,150.852,345451.06,14687.4,0.0,347.0,6502.0,51387.6
2007-01-01,2749.004,148.166,345785.72,11400.4,0.0,352.0,5880.0,39584.734
2007-01-02,1269.236,190.342,348399.03,5348.2,0.0,348.0,6562.0,14243.934
2007-01-03,1014.054,196.728,350722.22,4340.2,0.0,344.0,4765.0,11791.9
2007-01-04,3259.412,202.302,345240.44,13648.6,1051.0,7597.0,10896.0,34779.535
2007-01-05,2713.364,173.154,346313.9,11354.6,1483.0,379.0,7602.0,35758.734
2007-01-06,1508.378,192.188,345129.2,6543.2,1336.0,402.0,5678.0,17723.633
2007-01-07,2447.62,246.074,346899.6,10487.0,1987.0,8177.0,12810.0,17819.666
2007-01-08,2241.36,207.568,344990.8,9434.4,0.0,467.0,17547.0,19342.0
2007-01-09,1869.054,207.248,346302.03,7950.4,1688.0,4267.0,9790.0,15405.9
2007-01-10,2154.8,228.452,347079.53,9155.2,771.0,4456.0,11012.0,19674.334
2007-01-11,2255.194,230.02,347264.2,9588.0,1378.0,2170.0,12415.0,21623.566
2007-01-12,1461.296,199.14,347815.03,6205.2,0.0,439.0,8276.0,15639.934
2007-01-13,3186.814,290.736,344568.4,13612.4,7806.0,2975.0,11341.0,30991.566
2007-01-14,3009.442,227.278,343904.47,12912.2,1777.0,4215.0,12975.0,31190.367
2007-01-15,2148.678,174.86,347386.9,9016.6,1099.0,2239.0,15163.0,17310.3
2007-01-16,1686.404,185.428,348400.44,7165.4,2063.0,644.0,6583.0,18816.732
2007-01-17,2847.688,200.752,347047.56,11928.8,3500.0,5737.0,16064.0,22160.467
2007-01-18,1821.462,177.712,346886.78,7693.2,0.0,336.0,13491.0,16530.7
2007-01-19,1480.44,170.052,345831.75,6301.8,2103.0,330.0,7172.0,15069.0
2007-01-20,3133.732,238.362,343969.16,13461.2,4324.0,5222.0,11440.0,31242.867
2007-01-21,3407.262,229.73601,344114.1,14674.6,10346.0,5567.0,11599.0,29275.7
2007-01-22,2180.494,168.642,347908.5,9151.6,1054.0,2983.0,11361.0,20943.566
2007-01-23,1777.64,138.28,349578.1,7575.6,0.0,1064.0,5061.0,23502.334
2007-01-24,2987.854,178.06,347699.1,12576.4,3464.0,2480.0,11744.0,32109.566
2007-01-25,1596.344,144.16,350531.1,6666.2,1158.0,262.0,11239.0,13946.733
2007-01-26,1617.972,142.902,349591.38,6798.8,1163.0,261.0,8238.0,17304.2
2007-01-27,2044.072,148.242,347927.88,8567.8,1170.0,3896.0,12374.0,16627.867
2007-01-28,3091.588,153.426,346039.25,13149.0,3466.0,3998.0,12063.0,31999.467
2007-01-29,1982.664,165.696,346938.62,8336.0,1123.0,294.0,15254.0,16373.4
2007-01-30,1707.798,180.934,348250.88,7240.6,1123.0,1424.0,8149.0,17767.3
